,,,,mae,mae,rmse,rmse,r2,r2,spearman,spearman
,,,,mean,std,mean,std,mean,std,mean,std
analysis,domain,model,group,,,,,,,,
density_quartile,osm,spectral,Q2,0.6312376073660724,0.023081823879099492,0.7684972927112074,0.01499271766247,-2.015009992856722,0.2198522240717195,0.2903045441608841,0.09823002394673022
density_quartile,osm,spectral,Q3,0.5955319354286701,0.03615048093042908,0.7494351637553204,0.02449420954489847,-1.6888954250884365,0.2645979552248632,0.29827768764126866,0.06724084879879867
density_quartile,osm,spectral,Q4,0.6184435243885523,0.006382929314758001,0.7540995583081812,0.0054810347351202295,-1.9042332157515005,0.045775018931953806,0.31421422600362386,0.03249562356720324
density_quartile,osm,summary_mlp,Q1,0.34356186459047866,0.045273631753425955,0.5011450070108816,0.08177161756288809,-0.19422860626959712,0.3969837169669168,0.7898439850481607,0.04222783389639455
density_quartile,osm,summary_mlp,Q2,0.4516203871638769,0.11186470852470479,0.549189244972081,0.138136905876909,-0.5999748600891015,0.6754240937408368,0.8374527241952776,0.010632500271760624
density_quartile,osm,summary_mlp,Q3,0.3987887172288993,0.12997803406383765,0.5049651370719399,0.14645636042255605,-0.3060934810370467,0.6875603190060797,0.8183982456300802,0.016114893972436505
density_quartile,osm,summary_mlp,Q4,0.18769726921257984,0.06070822989039821,0.32456329281663326,0.06887459238588094,0.4420618750159406,0.24609138885904927,0.8021647563156726,0.021186905836204913
density_quartile,synthetic,deepsets,Q1,0.12622718566433697,0.04862343987020294,0.24753558198199305,0.08707641404872446,0.5693727865598914,0.17441559090964026,0.5739491179539459,0.1848609906061639
density_quartile,synthetic,deepsets,Q2,0.0840886897028085,0.03288181029236574,0.153511481070227,0.06286427000739789,0.6318903378312671,0.17128638063472384,0.274535975346059,0.27935502016058134
density_quartile,synthetic,deepsets,Q3,0.06646350600947479,0.010338088091513232,0.14636426227147858,0.011610625082662035,0.5320874149136542,0.08715474180294834,0.37471317697505685,0.18689464606250936
density_quartile,synthetic,deepsets,Q4,0.0686617662003214,0.018716614440346006,0.13902647080779262,0.05212169232715123,0.505528379761391,0.42657159084380214,0.387068452278596,0.07832503263583687
density_quartile,synthetic,direct_full,Q1,0.1066928449120709,0.05728773208407478,0.21460885247105219,0.11775452951370184,0.6352410586875111,0.22129108511639736,0.6407829550798814,0.10710042268597372
density_quartile,synthetic,direct_full,Q2,0.07860263278538818,0.0186098723322897,0.15486229065046836,0.05207458335993966,0.6145346387048407,0.18918444238651377,0.5031908771999734,0.24054003934608006
