domain,failure_mode,comparison_minus_residual,metric,mean_difference,ci_low,ci_high
synthetic,independent,direct_full,mae,0.025296088063402278,0.010554880601179265,0.04003729552562529
synthetic,independent,direct_full,spearman,-0.21703483716421998,-0.3693189123423407,-0.0853216519266804
synthetic,independent,residual_no_fiedler,mae,6.925925944039901e-05,-0.007287948706242423,0.00742646722512322
synthetic,independent,residual_no_fiedler,spearman,0.035931652420489124,-0.005350581246037667,0.11391477068182174
synthetic,independent,residual_no_coordinates,mae,-0.0018414330019499623,-0.007290475830303074,0.005210052255499328
synthetic,independent,residual_no_coordinates,spearman,0.029406905703580934,0.0004400099689432668,0.07356217674170515
synthetic,spatial_cluster,direct_full,mae,0.015988613151822494,0.004847657453866722,0.024114516822856296
synthetic,spatial_cluster,direct_full,spearman,-0.15163533252110795,-0.31593869067779445,0.016829243695694628
synthetic,spatial_cluster,residual_no_fiedler,mae,-0.0027153522122721125,-0.014835137366116597,0.007153888516068341
synthetic,spatial_cluster,residual_no_fiedler,spearman,0.04647278347181427,-0.014226139992289055,0.15312416151539252
synthetic,spatial_cluster,residual_no_coordinates,mae,-0.007311478547721045,-0.0191682004536999,0.0029923565140878307
synthetic,spatial_cluster,residual_no_coordinates,spearman,0.06283221682226821,-0.0030277107445927376,0.1669503511540944
osm,independent,direct_full,mae,0.008513309229004373,0.0039094093793524964,0.013055268222930799
osm,independent,direct_full,spearman,-0.05551513167068545,-0.09517717345674037,-0.026397265035796445
osm,independent,residual_no_fiedler,mae,-0.0014222584647690135,-0.0033725111695971587,0.00031625627823997913
osm,independent,residual_no_fiedler,spearman,-0.0016987389295358257,-0.009386714648678662,0.005231451374026164
osm,independent,residual_no_coordinates,mae,0.00010390181048133829,-0.0031365318546516473,0.003344335475614324
osm,independent,residual_no_coordinates,spearman,-0.0021866824458954158,-0.0058091509939449445,0.0012423160505793617
osm,spatial_cluster,direct_full,mae,0.012086097539525328,0.002617665271077868,0.024743645484509275
osm,spatial_cluster,direct_full,spearman,-0.05598159716799962,-0.0856164811473131,-0.026833683318728707
osm,spatial_cluster,residual_no_fiedler,mae,-0.01196734760101403,-0.05067478453200676,0.016876970163970165
osm,spatial_cluster,residual_no_fiedler,spearman,-0.007310683275761942,-0.03539181784986267,0.021334939439614974
osm,spatial_cluster,residual_no_coordinates,mae,0.0046839017850161865,-0.030215777287613023,0.043519106765923785
osm,spatial_cluster,residual_no_coordinates,spearman,-0.0015546394532905295,-0.018934033754039615,0.01435247772967394
