seed,domain,failure_mode,model,mae,rmse,r2,spearman
11,synthetic,independent,direct_full,0.10894510422396939,0.25918565726608805,-0.961716616388544,0.5699577045699736
11,synthetic,spatial_cluster,direct_full,0.07559288086279471,0.16374683331370343,0.6613597198435122,0.6400233515096535
11,osm,independent,direct_full,0.10423017905523423,0.2597942606946464,0.6838892642938922,0.8637722834373448
11,osm,spatial_cluster,direct_full,0.08012995442420225,0.23308212876841278,0.7209727613753198,0.8941842956646114
11,synthetic,independent,direct_no_fiedler,0.11785232198320364,0.26239951647205956,-1.0106681638926691,0.5664444819125646
11,synthetic,spatial_cluster,direct_no_fiedler,0.08443471416824216,0.18488125276517056,0.5683034823105136,0.6405409786285846
11,osm,independent,direct_no_fiedler,0.10351658950025842,0.2580574754471586,0.6881016846091881,0.8685643703594887
11,osm,spatial_cluster,direct_no_fiedler,0.07417485769364573,0.22416356087434225,0.7419174251163274,0.925757282660965
11,synthetic,independent,direct_no_coordinates,0.07142860814222442,0.15380257718720614,0.3092171191738623,0.5719856654277468
11,synthetic,spatial_cluster,direct_no_coordinates,0.06735320026664854,0.14090579369622025,0.7492444835323937,0.6313452807506587
11,osm,independent,direct_no_coordinates,0.11009163513140731,0.27315901074063864,0.6505289515285255,0.8674125739330354
11,osm,spatial_cluster,direct_no_coordinates,0.07653868177207188,0.22646538906388772,0.7365899596578949,0.9291660054770691
11,synthetic,independent,residual_full,0.06417430485378867,0.13620897913581317,0.4582164473900803,0.5801654913807763
11,synthetic,spatial_cluster,residual_full,0.08028282213949182,0.16838707544407186,0.6418950673636328,0.5007913699309013
11,osm,independent,residual_full,0.09805969569911528,0.2519760864048127,0.7026288768196247,0.8921528792499034
11,osm,spatial_cluster,residual_full,0.07145076389889943,0.22325401819876303,0.7440075140884348,0.9257799467421854
11,synthetic,independent,residual_no_fiedler,0.054718437265241913,0.14183156154994192,0.4125646064969698,0.770694143673326
11,synthetic,spatial_cluster,residual_no_fiedler,0.05544134609385821,0.13155380746697282,0.7814254268241199,0.7513847944641732
11,osm,independent,residual_no_fiedler,0.09743634835925799,0.25544807536542574,0.6943774392319737,0.895253055577728
11,osm,spatial_cluster,residual_no_fiedler,0.0819363651986592,0.24046336044288763,0.7030204988665263,0.9158812073340704
11,synthetic,independent,residual_no_coordinates,0.07637878411244614,0.20858454852679656,-0.27051152262238665,0.6941052811520084
11,synthetic,spatial_cluster,residual_no_coordinates,0.052431630440437464,0.13372629057085175,0.7741467259545232,0.7613090719486652
11,osm,independent,residual_no_coordinates,0.10125366951552889,0.2594505044867146,0.6847252576331152,0.8832444907917097
11,osm,spatial_cluster,residual_no_coordinates,0.0821692206615559,0.24265474846159757,0.6975829740907786,0.9187491684608875
11,synthetic,independent,deepsets,0.0553342347907055,0.129332157244576,0.5115418234055478,0.42823161739244053
11,synthetic,spatial_cluster,deepsets,0.07706499713080855,0.1566634438518046,0.690023954699145,0.5688199810757884
11,osm,independent,deepsets,0.10641069444265142,0.25275841759152673,0.7007794643644465,0.7818957429510313
11,osm,spatial_cluster,deepsets,0.1097915027837983,0.23560730205688848,0.7148941413553398,0.7927988981692307
11,synthetic,independent,summary_mlp,0.04991953321675213,0.1425714099407747,0.40642004063166115,0.5954589730025956
11,synthetic,spatial_cluster,summary_mlp,0.07004992252112847,0.14169597138710113,0.746424202224931,0.6309718416098704
11,osm,independent,summary_mlp,0.32827034003274697,0.49965647664899443,-0.16929255064663873,0.8256588137444364
11,osm,spatial_cluster,summary_mlp,0.45471857928071396,0.595886545740781,-0.8237101236168203,0.7878761737677302
11,synthetic,independent,spectral,0.04346267667297629,0.1591980572556778,0.2599009139612056,0.951242295481518
11,synthetic,spatial_cluster,spectral,0.10887870045239469,0.2836524327092063,-0.016168714879599033,0.8255420293146098
11,osm,independent,spectral,0.46552882385653865,0.6474570889089089,-0.9633698654594101,0.45283168433688453
11,osm,spatial_cluster,spectral,0.6588227500103008,0.7895524847476769,-2.2017738891307035,0.29642695825692017
22,synthetic,independent,direct_full,0.07301764410775399,0.13154131898541144,0.6031501522419318,0.520192593247745
22,synthetic,spatial_cluster,direct_full,0.057673828310658884,0.12550073456016195,0.7734150348547382,0.4830435670948121
22,osm,independent,direct_full,0.10415379498882522,0.2583798389271326,0.6835508687001814,0.8762542968516079
22,osm,spatial_cluster,direct_full,0.07409421074040855,0.22333172225036804,0.7480636369497848,0.8770264126761701
22,synthetic,independent,direct_no_fiedler,0.05927759829595349,0.11987015346057497,0.6704479966138532,0.5183754971003479
22,synthetic,spatial_cluster,direct_no_fiedler,0.05202373542581315,0.11358430458374455,0.8144011843526779,0.4912044318814179
22,osm,independent,direct_no_fiedler,0.10869009347959391,0.2698912502779584,0.6547256853475348,0.8749200386921469
