failure_mode,first_minus_second_order,ci_low,ci_high
independent,0.0028361032711340223,0.0004974260334784281,0.006734386019124496
spatial_cluster,0.003591903763302945,0.0008093024238030508,0.00755457669890471
targeted,0.005325737031996666,0.0013322725469803068,0.01186579396571775
