failure_mode,model,area_mean_mae,hierarchical_ci_low,hierarchical_ci_high,areas,seeds
independent,direct_edge_mpnn,0.16763347045551508,0.0888614751967229,0.27435239754484375,13,5
independent,direct_full,0.10155872595346352,0.06832069491099169,0.14203340566293696,13,5
independent,direct_sage,0.1096006236951958,0.07568986365522783,0.14854754012009963,13,5
independent,residual_edge_mpnn,0.16342443534596565,0.08631766164247866,0.26343016406740993,13,5
independent,residual_full,0.0848123857672132,0.04902117395630943,0.1272753190275707,13,5
independent,residual_sage,0.08430674317282014,0.05076658414107434,0.12554256713962753,13,5
independent,spectral,0.39943344621275034,0.2919834784819441,0.5181873551057969,13,5
independent,spectral_second_order,0.3965973429416163,0.2900538630786229,0.5099072194291796,13,5
spatial_cluster,direct_edge_mpnn,0.21211087339490325,0.12144381659049468,0.3268681752638679,13,5
spatial_cluster,direct_full,0.09605320998017003,0.06782527992125609,0.12781390881547106,13,5
spatial_cluster,direct_sage,0.09149835201251194,0.06439562863676324,0.12145936348442077,13,5
spatial_cluster,residual_edge_mpnn,0.19926351137953718,0.09647829891243467,0.3288752556975311,13,5
spatial_cluster,residual_full,0.05693671549073406,0.031002250599232162,0.08853792614707823,13,5
spatial_cluster,residual_sage,0.0756046229978728,0.04523895570593639,0.11024367135733067,13,5
spatial_cluster,spectral,0.5933671758796688,0.5128480453878407,0.6735549988070697,13,5
spatial_cluster,spectral_second_order,0.5897752721163658,0.5124352828784617,0.6674689265990885,13,5
targeted,direct_edge_mpnn,0.19159922184112288,0.12054507144207414,0.28095577342862255,13,5
targeted,direct_full,0.14455572523235444,0.09060054809837033,0.21046041708078175,13,5
targeted,direct_sage,0.15340475802064493,0.09665052870079781,0.2243658754447101,13,5
targeted,residual_edge_mpnn,0.15572366935537577,0.08954381436628803,0.25039163166919254,13,5
targeted,residual_full,0.13485859034564637,0.07916319520632263,0.19936602914759555,13,5
targeted,residual_sage,0.12766275548790298,0.07265905358334532,0.19564236409409733,13,5
targeted,spectral,0.24184041856868813,0.14501448922279567,0.35585417030799144,13,5
targeted,spectral_second_order,0.23651468153669145,0.14358491365554893,0.3493719995473092,13,5
