domain,area,seed,graph_id,failure_mode,model,eigengap,mae,eigengap_bin
osm,bangkok,11,1000800,independent,direct_edge_mpnn,0.5923173656377744,0.13014448195217318,medium
osm,bangkok,11,1000800,independent,direct_full,0.5923173656377744,0.15267620890854067,medium
osm,bangkok,11,1000800,independent,direct_sage,0.5923173656377744,0.16621527898578117,medium
osm,bangkok,11,1000800,independent,residual_edge_mpnn,0.5923173656377744,0.09427793931268982,medium
osm,bangkok,11,1000800,independent,residual_full,0.5923173656377744,0.1176330056366152,medium
osm,bangkok,11,1000800,independent,residual_sage,0.5923173656377744,0.10305380335742535,medium
osm,bangkok,11,1000800,independent,spectral,0.5923173656377744,0.5965492867076952,medium
osm,bangkok,11,1000800,independent,spectral_second_order,0.5923173656377744,0.5962147427674732,medium
osm,bangkok,11,1000801,spatial_cluster,direct_edge_mpnn,0.5923173656377744,0.019580742960096285,medium
osm,bangkok,11,1000801,spatial_cluster,direct_full,0.5923173656377744,0.03762994991731732,medium
osm,bangkok,11,1000801,spatial_cluster,direct_sage,0.5923173656377744,0.06471983367693515,medium
osm,bangkok,11,1000801,spatial_cluster,residual_edge_mpnn,0.5923173656377744,0.03623471782659083,medium
osm,bangkok,11,1000801,spatial_cluster,residual_full,0.5923173656377744,0.02320920402300447,medium
osm,bangkok,11,1000801,spatial_cluster,residual_sage,0.5923173656377744,0.03620598396156254,medium
osm,bangkok,11,1000801,spatial_cluster,spectral,0.5923173656377744,0.7485920685978907,medium
osm,bangkok,11,1000801,spatial_cluster,spectral_second_order,0.5923173656377744,0.7485432619555249,medium
osm,bangkok,11,1000802,targeted,direct_edge_mpnn,0.5923173656377744,0.2797869484298364,medium
osm,bangkok,11,1000802,targeted,direct_full,0.5923173656377744,0.24955346975484707,medium
osm,bangkok,11,1000802,targeted,direct_sage,0.5923173656377744,0.2981229772218005,medium
osm,bangkok,11,1000802,targeted,residual_edge_mpnn,0.5923173656377744,0.24032493291235188,medium
osm,bangkok,11,1000802,targeted,residual_full,0.5923173656377744,0.22682800995842314,medium
osm,bangkok,11,1000802,targeted,residual_sage,0.5923173656377744,0.23873914833447946,medium
osm,bangkok,11,1000802,targeted,spectral,0.5923173656377744,0.3096279025917446,medium
osm,bangkok,11,1000802,targeted,spectral_second_order,0.5923173656377744,0.3092691553369133,medium
osm,bangkok,22,1000800,independent,direct_edge_mpnn,0.5923173656377744,0.11435487450947017,medium
osm,bangkok,22,1000800,independent,direct_full,0.5923173656377744,0.13504545486188463,medium
osm,bangkok,22,1000800,independent,direct_sage,0.5923173656377744,0.12688007301307253,medium
osm,bangkok,22,1000800,independent,residual_edge_mpnn,0.5923173656377744,0.1264797572291546,medium
osm,bangkok,22,1000800,independent,residual_full,0.5923173656377744,0.09616959420428199,medium
osm,bangkok,22,1000800,independent,residual_sage,0.5923173656377744,0.10023975322896876,medium
osm,bangkok,22,1000800,independent,spectral,0.5923173656377744,0.30199004451521605,medium
osm,bangkok,22,1000800,independent,spectral_second_order,0.5923173656377744,0.3019463237132766,medium
osm,bangkok,22,1000801,spatial_cluster,direct_edge_mpnn,0.5923173656377744,0.07070807442822317,medium
osm,bangkok,22,1000801,spatial_cluster,direct_full,0.5923173656377744,0.04191218417425463,medium
osm,bangkok,22,1000801,spatial_cluster,direct_sage,0.5923173656377744,0.07842020586420606,medium
osm,bangkok,22,1000801,spatial_cluster,residual_edge_mpnn,0.5923173656377744,0.07948660932768892,medium
osm,bangkok,22,1000801,spatial_cluster,residual_full,0.5923173656377744,0.01502477276782679,medium
osm,bangkok,22,1000801,spatial_cluster,residual_sage,0.5923173656377744,0.02962114719309611,medium
osm,bangkok,22,1000801,spatial_cluster,spectral,0.5923173656377744,0.6997943539194399,medium
osm,bangkok,22,1000801,spatial_cluster,spectral_second_order,0.5923173656377744,0.6997319244201079,medium
osm,bangkok,22,1000802,targeted,direct_edge_mpnn,0.5923173656377744,0.030481318300678534,medium
osm,bangkok,22,1000802,targeted,direct_full,0.5923173656377744,0.06639803754527154,medium
osm,bangkok,22,1000802,targeted,direct_sage,0.5923173656377744,0.035874764131272496,medium
osm,bangkok,22,1000802,targeted,residual_edge_mpnn,0.5923173656377744,0.032763738286444265,medium
osm,bangkok,22,1000802,targeted,residual_full,0.5923173656377744,0.04553101243864962,medium
osm,bangkok,22,1000802,targeted,residual_sage,0.5923173656377744,0.03944887435710277,medium
osm,bangkok,22,1000802,targeted,spectral,0.5923173656377744,0.28676187088375416,medium
osm,bangkok,22,1000802,targeted,spectral_second_order,0.5923173656377744,0.2859576006746401,medium
osm,bangkok,33,1000800,independent,direct_edge_mpnn,0.5923173656377744,0.552813588458983,medium
osm,bangkok,33,1000800,independent,direct_full,0.5923173656377744,0.09192126392951822,medium
osm,bangkok,33,1000800,independent,direct_sage,0.5923173656377744,0.08918468262633897,medium
osm,bangkok,33,1000800,independent,residual_edge_mpnn,0.5923173656377744,0.08668234087160445,medium
osm,bangkok,33,1000800,independent,residual_full,0.5923173656377744,0.052813588458982916,medium
osm,bangkok,33,1000800,independent,residual_sage,0.5923173656377744,0.052594506557969066,medium
osm,bangkok,33,1000800,independent,spectral,0.5923173656377744,0.5509095736767876,medium
osm,bangkok,33,1000800,independent,spectral_second_order,0.5923173656377744,0.5508476592239061,medium
osm,bangkok,33,1000801,spatial_cluster,direct_edge_mpnn,0.5923173656377744,0.45431750287541905,medium
osm,bangkok,33,1000801,spatial_cluster,direct_full,0.5923173656377744,0.14789479858001908,medium
osm,bangkok,33,1000801,spatial_cluster,direct_sage,0.5923173656377744,0.1527308652060314,medium
osm,bangkok,33,1000801,spatial_cluster,residual_edge_mpnn,0.5923173656377744,0.2418398283304854,medium
osm,bangkok,33,1000801,spatial_cluster,residual_full,0.5923173656377744,0.10043727738091505,medium
osm,bangkok,33,1000801,spatial_cluster,residual_sage,0.5923173656377744,0.11216091762081126,medium
osm,bangkok,33,1000801,spatial_cluster,spectral,0.5923173656377744,0.45232640986131784,medium
osm,bangkok,33,1000801,spatial_cluster,spectral_second_order,0.5923173656377744,0.4521771980107525,medium
osm,bangkok,33,1000802,targeted,direct_edge_mpnn,0.5923173656377744,0.33796994175176537,medium
osm,bangkok,33,1000802,targeted,direct_full,0.5923173656377744,0.12409498982970397,medium
osm,bangkok,33,1000802,targeted,direct_sage,0.5923173656377744,0.12581590962768702,medium
osm,bangkok,33,1000802,targeted,residual_edge_mpnn,0.5923173656377744,0.12638748435300204,medium
osm,bangkok,33,1000802,targeted,residual_full,0.5923173656377744,0.11945074686195174,medium
osm,bangkok,33,1000802,targeted,residual_sage,0.5923173656377744,0.11755464217971483,medium
osm,bangkok,33,1000802,targeted,spectral,0.5923173656377744,0.307499880373972,medium
osm,bangkok,33,1000802,targeted,spectral_second_order,0.5923173656377744,0.3054092568944399,medium
osm,bangkok,44,1000800,independent,direct_edge_mpnn,0.5923173656377744,0.2063860272884992,medium
osm,bangkok,44,1000800,independent,direct_full,0.5923173656377744,0.21012480649060286,medium
osm,bangkok,44,1000800,independent,direct_sage,0.5923173656377744,0.20306682082718885,medium
osm,bangkok,44,1000800,independent,residual_edge_mpnn,0.5923173656377744,0.19621998266211424,medium
osm,bangkok,44,1000800,independent,residual_full,0.5923173656377744,0.2030983122169348,medium
osm,bangkok,44,1000800,independent,residual_sage,0.5923173656377744,0.18538113319209493,medium
osm,bangkok,44,1000800,independent,spectral,0.5923173656377744,0.6499757554058917,medium
osm,bangkok,44,1000800,independent,spectral_second_order,0.5923173656377744,0.6499044243134696,medium
osm,bangkok,44,1000801,spatial_cluster,direct_edge_mpnn,0.5923173656377744,0.09375472737285731,medium
osm,bangkok,44,1000801,spatial_cluster,direct_full,0.5923173656377744,0.0764517186004245,medium
osm,bangkok,44,1000801,spatial_cluster,direct_sage,0.5923173656377744,0.091784380169543,medium
osm,bangkok,44,1000801,spatial_cluster,residual_edge_mpnn,0.5923173656377744,0.023466226065489027,medium
osm,bangkok,44,1000801,spatial_cluster,residual_full,0.5923173656377744,0.003175611628261808,medium
osm,bangkok,44,1000801,spatial_cluster,residual_sage,0.5923173656377744,0.05109473949107762,medium
osm,bangkok,44,1000801,spatial_cluster,spectral,0.5923173656377744,0.5023688590657537,medium
osm,bangkok,44,1000801,spatial_cluster,spectral_second_order,0.5923173656377744,0.5023557469965386,medium
osm,bangkok,44,1000802,targeted,direct_edge_mpnn,0.5923173656377744,0.11057411172751086,medium
osm,bangkok,44,1000802,targeted,direct_full,0.5923173656377744,0.13434875759580361,medium
osm,bangkok,44,1000802,targeted,direct_sage,0.5923173656377744,0.14682383503117788,medium
osm,bangkok,44,1000802,targeted,residual_edge_mpnn,0.5923173656377744,0.0728269548000553,medium
osm,bangkok,44,1000802,targeted,residual_full,0.5923173656377744,0.08695053284663955,medium
osm,bangkok,44,1000802,targeted,residual_sage,0.5923173656377744,0.08352550318440295,medium
osm,bangkok,44,1000802,targeted,spectral,0.5923173656377744,0.08035317761165581,medium
osm,bangkok,44,1000802,targeted,spectral_second_order,0.5923173656377744,0.07984890619640676,medium
osm,bangkok,55,1000800,independent,direct_edge_mpnn,0.5923173656377744,0.1023585743926279,medium
osm,bangkok,55,1000800,independent,direct_full,0.5923173656377744,0.11117345827531955,medium
osm,bangkok,55,1000800,independent,direct_sage,0.5923173656377744,0.16122515831974288,medium
osm,bangkok,55,1000800,independent,residual_edge_mpnn,0.5923173656377744,0.5543932673810706,medium
osm,bangkok,55,1000800,independent,residual_full,0.5923173656377744,0.1043207801236496,medium
osm,bangkok,55,1000800,independent,residual_sage,0.5923173656377744,0.10254899937992028,medium
osm,bangkok,55,1000800,independent,spectral,0.5923173656377744,0.5515990555856352,medium
osm,bangkok,55,1000800,independent,spectral_second_order,0.5923173656377744,0.5515475526434798,medium
osm,bangkok,55,1000801,spatial_cluster,direct_edge_mpnn,0.5923173656377744,0.011194191604180202,medium
osm,bangkok,55,1000801,spatial_cluster,direct_full,0.5923173656377744,0.009378815033731929,medium
osm,bangkok,55,1000801,spatial_cluster,direct_sage,0.5923173656377744,0.050759549216626156,medium
osm,bangkok,55,1000801,spatial_cluster,residual_edge_mpnn,0.5923173656377744,0.8012635877716561,medium
osm,bangkok,55,1000801,spatial_cluster,residual_full,0.5923173656377744,0.0054840557317380155,medium
osm,bangkok,55,1000801,spatial_cluster,residual_sage,0.5923173656377744,0.0011378813080695099,medium
osm,bangkok,55,1000801,spatial_cluster,spectral,0.5923173656377744,0.798606747898426,medium
osm,bangkok,55,1000801,spatial_cluster,spectral_second_order,0.5923173656377744,0.7984353080910627,medium
osm,bangkok,55,1000802,targeted,direct_edge_mpnn,0.5923173656377744,0.18529059829864408,medium
osm,bangkok,55,1000802,targeted,direct_full,0.5923173656377744,0.16953308765080616,medium
osm,bangkok,55,1000802,targeted,direct_sage,0.5923173656377744,0.2801657516347624,medium
osm,bangkok,55,1000802,targeted,residual_edge_mpnn,0.5923173656377744,0.327397218083366,medium
osm,bangkok,55,1000802,targeted,residual_full,0.5923173656377744,0.17178877146668659,medium
osm,bangkok,55,1000802,targeted,residual_sage,0.5923173656377744,0.1678596326020632,medium
osm,bangkok,55,1000802,targeted,spectral,0.5923173656377744,0.3130447468614344,medium
osm,bangkok,55,1000802,targeted,spectral_second_order,0.5923173656377744,0.3124863628023492,medium
osm,cantho,11,1000300,independent,direct_edge_mpnn,1.1845383241700216,0.08560719420914428,high
osm,cantho,11,1000300,independent,direct_full,1.1845383241700216,0.07061446768435464,high
osm,cantho,11,1000300,independent,direct_sage,1.1845383241700216,0.07974634009623902,high
