domain,failure_mode,model,slope,rho,correction_mae
osm,independent,residual_edge_mpnn,0.6170839374170295,0.5392320235249848,0.16342443534596568
osm,independent,residual_full,0.8433537182822971,0.5153133993463733,0.08481238576721323
osm,independent,residual_sage,0.83374429214211,0.6328584319928644,0.08430674317282014
osm,spatial_cluster,residual_edge_mpnn,0.6401810059926764,0.6191915891839024,0.19926351137953718
osm,spatial_cluster,residual_full,0.9475627741069037,0.7599360198530623,0.05693671549073406
osm,spatial_cluster,residual_sage,0.9018334139965919,0.7545414078924573,0.0756046229978728
osm,targeted,residual_edge_mpnn,0.4857000770531693,0.35919028340080966,0.15572366935537577
osm,targeted,residual_full,0.511953134708266,0.12323886639676113,0.1348585903456464
osm,targeted,residual_sage,0.5802850233274892,0.4156622325043377,0.12766275548790298
synthetic,independent,residual_edge_mpnn,0.6943089359670019,0.30782995276465697,0.052759749426210055
synthetic,independent,residual_full,0.8036469649386782,0.6716532370102808,0.053698291758694484
synthetic,independent,residual_sage,0.7893044965727526,0.7030841900527925,0.05506263236796773
synthetic,spatial_cluster,residual_edge_mpnn,0.5784385742548228,0.31314347199125825,0.1177010442134184
synthetic,spatial_cluster,residual_full,0.7673539471754445,0.5378898696693083,0.0621571843095328
synthetic,spatial_cluster,residual_sage,0.7275369936044247,0.6274481355600858,0.06566210904025474
synthetic,targeted,residual_edge_mpnn,0.4735912709804772,0.5148889801166516,0.12779284554382575
synthetic,targeted,residual_full,0.47184107343909504,0.6056538920682681,0.1358142268535678
synthetic,targeted,residual_sage,0.4317170723398981,0.6188797693123654,0.1263109162968214
