backbone,failure_mode,direct_minus_residual,ci_low,ci_high
GCN,independent,0.016746340186250312,-0.0019111937113081793,0.03382663899867677
GCN,spatial_cluster,0.03911649448943596,0.015052335817924142,0.06620532028342725
GCN,targeted,0.009697134886708052,-0.009548523433501342,0.026759690068070285
GraphSAGE,independent,0.025293880522375675,0.011413786776429603,0.04251638268145462
GraphSAGE,spatial_cluster,0.015893729014639132,-0.004322111491712225,0.036527614390722093
GraphSAGE,targeted,0.02574200253274195,0.009463254112025416,0.04457513036832563
Edge-MPNN,independent,0.0042090351095493755,-0.12100605373415699,0.12271655130163488
Edge-MPNN,spatial_cluster,0.012847362015366074,-0.14885330256893592,0.1575054585794316
Edge-MPNN,targeted,0.03587555248574709,-0.04116112544613825,0.11127714958373149
