failure_mode,model,area_mean_mae,ci_low,ci_high,areas,seeds
independent,OD-efficiency loss (64 pairs),0.3955878877381964,0.2902327846884928,0.5064500066550979,13,5
independent,largest-component loss,0.4032233443892995,0.29737518733020435,0.5156538853067657,13,5
spatial_cluster,OD-efficiency loss (64 pairs),0.5820465634357027,0.5046421449390808,0.656191837901076,13,5
spatial_cluster,largest-component loss,0.5924617707072765,0.5126499074226946,0.6680753276098732,13,5
targeted,OD-efficiency loss (64 pairs),0.24396983191403002,0.15001404347810715,0.3535620124591324,13,5
targeted,largest-component loss,0.2558191655597495,0.15773223411216294,0.3678985408623902,13,5
