,,mae,mae,rmse,rmse,r2,r2,spearman,spearman
,,mean,std,mean,std,mean,std,mean,std
failed_group,method,,,,,,,,
1,gcn,0.029648677668969198,0.012648417433141278,0.039275733756103395,0.016430819819131533,-3.9741647876644435,9.08213002687709,0.2573067295872472,0.1581586377290817
1,spectral_first_order,0.009726235935104325,0.01038473790729197,0.0450104210990153,0.06516590954705571,0.5866959148736797,0.35435254448356,0.9876898194249975,0.009474620814338858
2-3,gcn,0.04424463445367194,0.01222697796960509,0.1026077919963119,0.05323152553427274,0.6004649846552408,0.3996613024317849,0.3832901193274769,0.1781699101524231
2-3,spectral_first_order,0.050798677585687804,0.025052445653353142,0.19126899787956234,0.05289747149075395,0.039070906760350056,0.07550215310904054,0.9586335499008373,0.028219285613358822
4-5,gcn,0.06502006719100936,0.015432990281565398,0.15386850340251684,0.04043476431683276,0.49929215461478116,0.10909095104964611,0.4353016912526564,0.15517931294807513
4-5,spectral_first_order,0.06417584638458149,0.02193732433356045,0.20392781370900784,0.05059633223565466,0.12495391208574202,0.11618418052617717,0.9310772056992149,0.03859853791429505
6+,gcn,0.09609883598090736,0.02307674677515438,0.1902393067270758,0.04172102384686794,0.4862929220424464,0.08120174984118056,0.49100440061108197,0.055418350000429335
6+,spectral_first_order,0.09769003430789966,0.04198344496751332,0.2514058589679276,0.0755113527065342,0.11567219273460079,0.21955300443327777,0.9074380173682147,0.03945667688126156
