domain,failure_mode,backbone,mean_direct_minus_residual,ci_low,ci_high
osm,independent,GCN,0.008513309229004373,0.0038011065361208073,0.013055268222930799
osm,independent,GraphSAGE,0.006898992851145177,0.00319744107499714,0.009571126045893153
osm,spatial_cluster,GCN,0.012086097539525328,0.002617665271077868,0.024743645484509275
osm,spatial_cluster,GraphSAGE,0.023865211894185334,-0.007337838472730398,0.0696728580848735
synthetic,independent,GCN,0.025296088063402278,0.010554880601179265,0.04003729552562529
synthetic,independent,GraphSAGE,0.01971591433895103,0.007063995497682896,0.03320507687936899
synthetic,spatial_cluster,GCN,0.015988613151822494,0.004847657453866722,0.024114516822856296
synthetic,spatial_cluster,GraphSAGE,0.018991743773101664,0.010645640166762688,0.027337847379440644
