nodes,edges,replicate,scenario,exact_seconds,spectral_setup_seconds,spectral_update_seconds,spectral_amortized_seconds,target,spectral_prediction
50,684,0,0,0.004460100084543228,0.006349199917167425,8.030002936720848e-05,0.000715220021083951,0.00037704868683696713,0.0003405750498069557
50,684,0,1,0.003643300151452422,0.006349199917167425,3.7400051951408386e-05,0.0006723200436681509,0.021340261564747998,0.016651756424267795
50,684,0,2,0.001998899970203638,0.006349199917167425,3.510015085339546e-05,0.000670020142570138,0.0,0.0021121721472189404
50,684,0,3,0.0022540001664310694,0.006349199917167425,3.450014628469944e-05,0.000669420138001442,0.0,0.0009083374111566485
50,684,0,4,0.00823180004954338,0.006349199917167425,6.0399994254112244e-05,0.0006953199859708548,0.04066860419348606,0.030987881812712184
50,684,0,5,0.0031753000803291798,0.006349199917167425,7.609999738633633e-05,0.0007110199891030789,0.0,0.011156465784076803
50,684,0,6,0.0023198998533189297,0.006349199917167425,4.650000482797623e-05,0.0006814199965447188,0.0,0.0010086361824028346
50,684,0,7,0.003777200123295188,0.006349199917167425,6.749993190169334e-05,0.0007024199236184359,0.0,0.036920002400659346
50,684,0,8,0.003141300054267049,0.006349199917167425,5.50001859664917e-05,0.0006899201776832342,0.0,0.00029471894165755675
50,684,0,9,0.003993800142779946,0.006349199917167425,4.009995609521866e-05,0.0006750199478119612,0.0,0.0004200639667814606
50,598,1,0,0.002384199993684888,0.06509200017899275,3.639981150627136e-05,0.006545599829405546,0.010609875297776905,0.010022684977266655
50,598,1,1,0.001765499822795391,0.06509200017899275,2.4300068616867065e-05,0.006533500086516142,0.011213003631138418,0.010044726155122174
50,598,1,2,0.0017856999766081572,0.06509200017899275,2.2399937734007835e-05,0.0065315999556332825,0.008159873741669488,0.007453209344651694
50,598,1,3,0.0016975998878479004,0.06509200017899275,2.4200184270739555e-05,0.006533400202170014,0.020287449045644723,0.018348388083883612
50,598,1,4,0.0025011999532580376,0.06509200017899275,5.470006726682186e-05,0.0065639000851660965,0.020389735543760334,0.01823945056619654
50,598,1,5,0.0019119998905807734,0.06509200017899275,2.719997428357601e-05,0.006536399992182851,0.017562548994942473,0.015784812097069494
50,598,1,6,0.0019255999941378832,0.06509200017899275,2.719997428357601e-05,0.006536399992182851,0.018451199538602747,0.016967462729374987
50,598,1,7,0.0019229999743402004,0.06509200017899275,2.810009755194187e-05,0.0065373001154512165,0.012629746795561614,0.01138812123242
50,598,1,8,0.002029099967330694,0.06509200017899275,2.9399991035461426e-05,0.006538600008934736,0.02366606797036941,0.020958743084095423
50,598,1,9,0.002415700117126107,0.06509200017899275,3.639981150627136e-05,0.006545599829405546,0.009998734810694354,0.008855241278581163
50,628,2,0,0.0026801000349223614,0.0020479001104831696,2.8999987989664078e-05,0.00023378999903798104,0.26591946131879884,0.00740160038586516
50,628,2,1,0.001916100038215518,0.0020479001104831696,2.3799948394298553e-05,0.00022858995944261551,0.016001474065416743,0.014909929278998795
50,628,2,2,0.0025469998363405466,0.0020479001104831696,3.939983434975147e-05,0.0002441898453980684,0.009885469557357807,0.009036119012942549
50,628,2,3,0.0018541000317782164,0.0020479001104831696,2.7399975806474686e-05,0.00023218998685479165,0.014296842749600414,0.012729095864596578
50,628,2,4,0.0018637999892234802,0.0020479001104831696,2.4300068616867065e-05,0.00022909007966518403,0.01798771404993804,0.016319843299618338
50,628,2,5,0.001747800037264824,0.0020479001104831696,2.2600172087550163e-05,0.00022739018313586712,0.010730006860972141,0.009972168910381118
50,628,2,6,0.0021304001566022635,0.0020479001104831696,3.50000336766243e-05,0.00023979004472494126,0.01378347352813758,0.012441682035463886
50,628,2,7,0.0019992999732494354,0.0020479001104831696,5.150004290044308e-05,0.00025629005394876,0.008428787743584354,0.007965906621935208
50,628,2,8,0.0021158000454306602,0.0020479001104831696,3.310013562440872e-05,0.00023789014667272568,0.02313763964572424,0.02049174454340611
50,628,2,9,0.0018847000319510698,0.0020479001104831696,2.8399983420968056e-05,0.00023318999446928502,0.012451224676060302,0.011614956388645846
100,1441,0,0,0.0031328999903053045,0.0037243999540805817,3.20998951792717e-05,0.0004045398905873299,0.005256395234269351,0.004975817147104938
100,1441,0,1,0.002910299925133586,0.0037243999540805817,2.450007013976574e-05,0.00039694006554782393,0.004195930207140819,0.003928460388084418
100,1441,0,2,0.0034163999371230602,0.0037243999540805817,3.3700140193104744e-05,0.00040614013560116293,0.004174580667926642,0.003957694947164695
100,1441,0,3,0.0031979000195860863,0.0037243999540805817,3.9499951526522636e-05,0.0004119399469345808,0.008587520573453578,0.00793827578930355
100,1441,0,4,0.00316469999961555,0.0037243999540805817,2.9899878427386284e-05,0.00040233987383544447,0.0069027256869831355,0.006379129962696872
100,1441,0,5,0.003530199872329831,0.0037243999540805817,4.229997284710407e-05,0.00041473996825516226,0.013986058585303551,0.013224953536895375
100,1441,0,6,0.0033761998638510704,0.0037243999540805817,4.770001396536827e-05,0.00042014000937342646,0.004081190942741841,0.0038372337437742564
100,1441,0,7,0.004519000183790922,0.0037243999540805817,4.6900007873773575e-05,0.00041934000328183176,0.001744935116941404,0.0015168539585658713
100,1441,0,8,0.003172999946400523,0.0037243999540805817,3.0700117349624634e-05,0.0004031401127576828,0.0037562860017578137,0.0035530924995882656
100,1441,0,9,0.005746399983763695,0.0037243999540805817,3.550015389919281e-05,0.000407940149307251,0.0024622285564647184,0.0022440501522034135
100,1462,1,0,0.005164100090041757,0.002934300107881427,4.630000330507755e-05,0.00033973001409322024,0.17997194852941933,0.009515806121746496
100,1462,1,1,0.0026926000136882067,0.002934300107881427,3.520003519952297e-05,0.00032863004598766566,0.003694095943132414,0.0034804205360087497
100,1462,1,2,0.0031642999965697527,0.002934300107881427,4.440010525286198e-05,0.00033783011604100467,0.0040113732801349,0.00371204796657041
100,1462,1,3,0.0034276999067515135,0.002934300107881427,4.0999846532940865e-05,0.00033442985732108356,0.004702649303855444,0.004416235528304902
100,1462,1,4,0.00541680003516376,0.002934300107881427,4.730001091957092e-05,0.0003407300217077136,0.1808066398961936,0.002476783495420213
100,1462,1,5,0.003511900082230568,0.002934300107881427,5.510007031261921e-05,0.0003485300811007619,0.007200432569642312,0.0067597846361940744
100,1462,1,6,0.004897900158539414,0.002934300107881427,4.2800093069672585e-05,0.0003362301038578153,0.1781796496665996,0.0052603623371078245
100,1462,1,7,0.002628799993544817,0.002934300107881427,2.719997428357601e-05,0.0003206299850717187,0.0051492074920012065,0.004881996480874807
100,1462,1,8,0.003556499956175685,0.002934300107881427,3.5899924114346504e-05,0.0003293299349024892,0.007325904063325117,0.0068605338158874846
100,1462,1,9,0.005012799985706806,0.002934300107881427,3.110012039542198e-05,0.0003245301311835647,0.006932956301169302,0.006610876003028028
100,1532,2,0,0.0032229998614639044,0.0031381999142467976,5.759997293353081e-05,0.0003714199643582106,0.003581872360392313,0.003395783971883672
100,1532,2,1,0.003478799946606159,0.0031381999142467976,4.160008393228054e-05,0.0003554200753569603,0.0054694112340765155,0.005257501592700883
100,1532,2,2,0.0034457999281585217,0.0031381999142467976,6.760004907846451e-05,0.0003814200405031443,0.006442241243699187,0.006125854962325215
100,1532,2,3,0.00342669989913702,0.0031381999142467976,4.5900000259280205e-05,0.00035971999168396,0.006220661550153328,0.005856479933802941
100,1532,2,4,0.003073799889534712,0.0031381999142467976,3.979983739554882e-05,0.0003536198288202286,0.008343002364877172,0.007899774460958268
100,1532,2,5,0.0029712000396102667,0.0031381999142467976,5.8099860325455666e-05,0.00037191985175013544,0.00940419362218281,0.008498860362845872
100,1532,2,6,0.0033412999473512173,0.0031381999142467976,7.320009171962738e-05,0.00038702008314430716,0.004903866841089455,0.004365007842829592
100,1532,2,7,0.0028603000100702047,0.0031381999142467976,3.2700132578611374e-05,0.00034652012400329115,0.009807769554439627,0.009163580199583913
100,1532,2,8,0.002609600080177188,0.0031381999142467976,2.8300099074840546e-05,0.0003421200904995203,0.0027105099649161746,0.0025465536602955925
100,1532,2,9,0.006662500090897083,0.0031381999142467976,4.6800123527646065e-05,0.00036062011495232584,0.005805355879753948,0.005576113047028003
200,3878,0,0,0.0074939001351594925,0.007155400002375245,4.739989526569843e-05,0.0007629398955032229,0.001667199206328407,0.001612880304158518
200,3878,0,1,0.0068039000034332275,0.007155400002375245,8.919998072087765e-05,0.0008047399809584021,0.0027506853511384266,0.002648399706205318
200,3878,0,2,0.006045399932190776,0.007155400002375245,4.349998198449612e-05,0.0007590399822220206,0.0021335127718020708,0.002043354983838209
200,3878,0,3,0.007450600154697895,0.007155400002375245,4.000007174909115e-05,0.0007555400719866156,0.002154426276715249,0.0020622070999274794
200,3878,0,4,0.005814099917188287,0.007155400002375245,3.8400059565901756e-05,0.0007539400598034262,0.0017693311476240092,0.0017063731192295606
200,3878,0,5,0.006467000115662813,0.007155400002375245,5.030003376305103e-05,0.0007658400340005755,0.0027809727067281687,0.0026592129851976173
200,3878,0,6,0.008635899983346462,0.007155400002375245,6.569991819560528e-05,0.0007812399184331298,0.0005380402073017487,0.0005006285910166509
200,3878,0,7,0.006749799940735102,0.007155400002375245,6.689992733299732e-05,0.0007824399275705218,0.002090996055234662,0.0019929788737872464
200,3878,0,8,0.005959199974313378,0.007155400002375245,5.530007183551788e-05,0.0007708400720730424,0.0035083998170949426,0.0034226475155947054
200,3878,0,9,0.007594599854201078,0.007155400002375245,4.659988917410374e-05,0.0007621398894116282,0.0037141885918192674,0.003582556226919719
200,4052,1,0,0.006087400019168854,0.006793899927288294,3.900006413459778e-05,0.0007183900568634271,0.0014623662420742978,0.0013955560960921538
200,4052,1,1,0.006018700078129768,0.006793899927288294,3.829994238913059e-05,0.0007176899351179599,0.0013567892868070475,0.0013165883505948735
200,4052,1,2,0.00587160000577569,0.006793899927288294,3.7999823689460754e-05,0.0007173898164182901,0.0010893080410490086,0.001042260063136441
200,4052,1,3,0.0066160999704152346,0.006793899927288294,4.560011439025402e-05,0.0007249901071190834,0.002112129337555335,0.0020293771620883768
200,4052,1,4,0.0057357000187039375,0.006793899927288294,7.24999699741602e-05,0.0007518899627029895,0.0024538220722615245,0.0024054117158047307
200,4052,1,5,0.005975899985060096,0.006793899927288294,4.479987546801567e-05,0.000724189868196845,0.00104903684194535,0.0010081507525894888
200,4052,1,6,0.005762099986895919,0.006793899927288294,3.660004585981369e-05,0.000715990038588643,0.0019431178627578038,0.0018746424205590194
200,4052,1,7,0.006820400012657046,0.006793899927288294,4.0499959141016006e-05,0.0007198899518698453,0.0010661750211389265,0.0010481987381908366
200,4052,1,8,0.00702290004119277,0.006793899927288294,5.569984205067158e-05,0.0007350898347795009,0.0011185368030856013,0.0010800846200270868
200,4052,1,9,0.010297799948602915,0.006793899927288294,5.200016312301159e-05,0.0007313901558518409,0.03494019254458813,0.0012186580607255464
200,4184,2,0,0.00702290004119277,0.007589500164613128,4.9999915063381195e-05,0.000808949931524694,0.0019229384144315853,0.001836223561465966
200,4184,2,1,0.007127799792215228,0.007589500164613128,6.129988469183445e-05,0.0008202499011531472,0.0032588787013597686,0.0031260721983216834
200,4184,2,2,0.00846739998087287,0.007589500164613128,5.170004442334175e-05,0.0008106500608846545,0.0021208901210298947,0.001985621203014907
200,4184,2,3,0.005966400029137731,0.007589500164613128,3.620004281401634e-05,0.0007951500592753291,0.001379721790760291,0.0013179464958806622
200,4184,2,4,0.006799299968406558,0.007589500164613128,4.269997589290142e-05,0.0008016499923542142,0.001965068046472118,0.0018748367363635252
200,4184,2,5,0.007459399988874793,0.007589500164613128,3.7499936297535896e-05,0.0007964499527588487,0.000934996803761079,0.0008948419437313106
200,4184,2,6,0.006506300065666437,0.007589500164613128,3.920006565749645e-05,0.0007981500821188092,0.0016377389019842647,0.0014564870181846773
200,4184,2,7,0.0062166000716388226,0.007589500164613128,3.9499951526522636e-05,0.0007984499679878354,0.004106337688800754,0.0037687746940724283
200,4184,2,8,0.007399699883535504,0.007589500164613128,4.630000330507755e-05,0.0008052500197663903,0.004893469283912655,0.004719478673009277
200,4184,2,9,0.008596699917688966,0.007589500164613128,4.0400074794888496e-05,0.0007993500912562013,0.00024781038715315784,0.0002319858618704713
400,9906,0,0,0.015580100007355213,0.015161399962380528,4.259985871613026e-05,0.0015587398549541831,0.00129572550234347,0.0012681319352290316
400,9906,0,1,0.014502299949526787,0.015161399962380528,5.079992115497589e-05,0.0015669399173930288,0.0004359075133023582,0.0004226162553388001
400,9906,0,2,0.01635980000719428,0.015161399962380528,4.679989069700241e-05,0.0015629398869350553,0.0009492030505414695,0.0009246016042005713
400,9906,0,3,0.015693299937993288,0.015161399962380528,5.430006422102451e-05,0.0015704400604590774,0.0008759687215935674,0.0008525392267251325
400,9906,0,4,0.015834099845960736,0.015161399962380528,4.269997589290142e-05,0.0015588399721309543,0.00013014160969004873,0.00012495583658413787
400,9906,0,5,0.013992000138387084,0.015161399962380528,4.000007174909115e-05,0.001556140067987144,0.0008327544740390769,0.0008024371791745728
400,9906,0,6,0.01439819997176528,0.015161399962380528,4.360009916126728e-05,0.0015597400953993202,0.0004783410454869408,0.0004621171939402904
400,9906,0,7,0.015321000013500452,0.015161399962380528,8.079991675913334e-05,0.0015969399129971862,0.0005347908225964426,0.0005087419908891268
400,9906,0,8,0.0141461999155581,0.015161399962380528,5.110003985464573e-05,0.0015672400360926986,0.0009577550654774614,0.0009316175293386409
400,9906,0,9,0.014564999844878912,0.015161399962380528,6.289989687502384e-05,0.0015790398931130767,0.0007196876823587495,0.0006980279400826796
400,9864,1,0,0.016222999896854162,0.019198999973013997,6.140000186860561e-05,0.001981299999170005,0.000872485875675344,0.0008473303826571696
400,9864,1,1,0.016407299786806107,0.019198999973013997,5.279993638396263e-05,0.001972699933685362,0.0008159150663846759,0.0007935245090685435
400,9864,1,2,0.015393699984997511,0.019198999973013997,5.359994247555733e-05,0.001973499939776957,0.0010669339987579018,0.0010309287622143077
400,9864,1,3,0.017812900012359023,0.019198999973013997,5.419994704425335e-05,0.001974099944345653,0.0001778692923807279,0.0001672294153039093
400,9864,1,4,0.015668699983507395,0.019198999973013997,4.509999416768551e-05,0.001964999991469085,0.001487392466362203,0.001451087651072771
400,9864,1,5,0.014899400062859058,0.019198999973013997,7.930002175271511e-05,0.0019992000190541146,0.0008341950020157585,0.0008096377519367336
400,9864,1,6,0.01750430022366345,0.019198999973013997,5.460018292069435e-05,0.001974500180222094,0.000778980369311677,0.0007457846918100925
400,9864,1,7,0.015919200144708157,0.019198999973013997,5.410006269812584e-05,0.0019740000599995254,0.0005773943397936465,0.0005610485884403587
400,9864,1,8,0.015402100048959255,0.019198999973013997,5.510007031261921e-05,0.0019750000676140187,0.0011695193077811972,0.001140982949437934
400,9864,1,9,0.016561799915507436,0.019198999973013997,5.789985880255699e-05,0.0019777998561039565,0.0006807090989567888,0.0006583420160141244
400,9927,2,0,0.01395479985512793,0.015332300215959549,4.269997589290142e-05,0.0015759299974888563,0.0005064178433482613,0.0004929016496419701
400,9927,2,1,0.014914900064468384,0.015332300215959549,5.7300087064504623e-05,0.0015905301086604595,0.0005663070428915118,0.0005397363624024218
400,9927,2,2,0.01404720009304583,0.015332300215959549,4.539988003671169e-05,0.0015786299016326665,0.0021832803087953323,0.0021280987341254403
400,9927,2,3,0.016017799964174628,0.015332300215959549,4.979991354048252e-05,0.0015830299351364374,0.0005663123510060153,0.0005242846895846592
400,9927,2,4,0.014951699879020452,0.015332300215959549,5.659996531903744e-05,0.0015898299869149923,0.0007695073551720055,0.0007439850945229099
400,9927,2,5,0.015565300127491355,0.015332300215959549,5.8499863371253014e-05,0.0015917298849672079,0.0005399242327153164,0.0005269423781460986
400,9927,2,6,0.017209500074386597,0.015332300215959549,4.719989374279976e-05,0.0015804299153387546,0.0004323179241747521,0.00041210070568353395
400,9927,2,7,0.015995000023394823,0.015332300215959549,4.5999884605407715e-05,0.0015792299062013626,0.0012507643306975957,0.0012200383719423002
400,9927,2,8,0.016327599994838238,0.015332300215959549,5.45999500900507e-05,0.0015878299716860055,0.0007160042944774903,0.0006848173539874933
400,9927,2,9,0.013842900050804019,0.015332300215959549,4.920014180243015e-05,0.001582430163398385,0.0013708397480212131,0.001340780964768219
800,23719,0,0,0.03636000002734363,0.03850130015052855,5.869986489415169e-05,0.003908829879947007,6.71423823463968e-05,6.546231495634072e-05
800,23719,0,1,0.036368600092828274,0.03850130015052855,5.719996988773346e-05,0.0039073299849405885,0.00021395530249068706,0.00020695517592801108
800,23719,0,2,0.03562090010382235,0.03850130015052855,5.7999975979328156e-05,0.003908129991032183,0.0002431782671641347,0.00023858556619827612
800,23719,0,3,0.03801780007779598,0.03850130015052855,6.480002775788307e-05,0.003914930042810738,0.00013673906653000056,0.0001322255969352502
800,23719,0,4,0.03358940011821687,0.03850130015052855,5.5800192058086395e-05,0.0039059302071109414,0.0001288699987945785,0.00012421189358115137
800,23719,0,5,0.03793659992516041,0.03850130015052855,0.00014750007539987564,0.003997630090452731,0.00018123648119239277,0.00017563178066494102
800,23719,0,6,0.036116900155320764,0.03850130015052855,5.8999983593821526e-05,0.0039091299986466765,0.0001586389027977697,0.00015459603091674793
800,23719,0,7,0.0343296998180449,0.03850130015052855,6.609992124140263e-05,0.003916229936294258,0.0002563466112073254,0.00024934663050952275
800,23719,0,8,0.036273400066420436,0.03850130015052855,8.350005373358727e-05,0.003933630068786442,8.186941381194135e-05,8.028159131195189e-05
800,23719,0,9,0.036000599851831794,0.03850130015052855,8.599995635449886e-05,0.003936129971407354,0.0004081311458883352,0.00039975940211089685
800,23168,1,0,0.04272369993850589,0.04765750002115965,7.890001870691776e-05,0.004844650020822882,0.000142696176589574,0.00013455219584129663
800,23168,1,1,0.04222219996154308,0.04765750002115965,7.870001718401909e-05,0.004844450019299984,0.00016039781512366957,0.0001569384715922151
800,23168,1,2,0.04187159985303879,0.04765750002115965,5.470006726682186e-05,0.004820450069382786,0.0005143411304958656,0.0004995546220904731
800,23168,1,3,0.04283039993606508,0.04765750002115965,6.480002775788307e-05,0.004830550029873848,0.0003367783260079804,0.0003299018051285768
800,23168,1,4,0.04176589986309409,0.04765750002115965,7.609999738633633e-05,0.004841849999502301,0.0005301310185645836,0.0005186005614447425
800,23168,1,5,0.047190200071781874,0.04765750002115965,5.7900091633200645e-05,0.004823650093749165,0.0003910423640323124,0.00038281114231682146
800,23168,1,6,0.15167409996502101,0.04765750002115965,7.919990457594395e-05,0.0048449499066919085,0.0005596412676136531,0.0005294604270722123
800,23168,1,7,0.04289939999580383,0.04765750002115965,0.00011749984696507454,0.004883249849081039,0.0003339507464793501,0.00032529270515785824
800,23168,1,8,0.044512599939480424,0.04765750002115965,5.539995618164539e-05,0.00482114995829761,0.0005356497789846815,0.0005148334311178122
800,23168,1,9,0.04242600011639297,0.04765750002115965,7.730000652372837e-05,0.004843050008639693,0.0006096396624561962,0.0005977221756567803
800,23106,2,0,0.04153430019505322,0.03666110010817647,8.310005068778992e-05,0.003749210061505437,0.0002824872955544677,0.0002752736942233928
800,23106,2,1,0.0370301001239568,0.03666110010817647,6.420002318918705e-05,0.003730310034006834,0.00023910440347008066,0.00023273539949745064
800,23106,2,2,0.0407368999440223,0.03666110010817647,8.690007962286472e-05,0.0037530100904405116,0.000553311854315397,0.0005392531936978018
800,23106,2,3,0.036758100148290396,0.03666110010817647,6.320001557469368e-05,0.0037293100263923406,0.00039061492004421883,0.00037940475670681257
800,23106,2,4,0.03755120001733303,0.03666110010817647,0.0001463000662624836,0.0038124100770801305,0.0003559088872734373,0.0003467951723027803
800,23106,2,5,0.04390539997257292,0.03666110010817647,6.120000034570694e-05,0.003727310011163354,0.0002915227186505165,0.0002853615618795137
800,23106,2,6,0.043746399926021695,0.03666110010817647,6.0499878600239754e-05,0.0037266098894178866,0.00044200500973345935,0.0004323085493438302
800,23106,2,7,0.0400632000528276,0.03666110010817647,8.429982699453831e-05,0.003750409837812185,0.0002559022314030379,0.0002467604545428497
800,23106,2,8,0.03988589998334646,0.03666110010817647,6.0099875554442406e-05,0.0037262098863720893,0.0005932396214551883,0.0005733393114075554
800,23106,2,9,0.038669100031256676,0.03666110010817647,7.560010999441147e-05,0.0037417101208120584,0.00014253105293804413,0.00013692932543648466
