seed,held_area,validation_area,model,failure_mode,target,prediction,spectral,failed_count,connected,spectral_clipped,base_density,train_seconds,abs_error
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.117960480739087,6,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0033837870193066,6,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0224225627772299,2,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.1543826335014976,5,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0647711551127219,4,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0036624927193216,1,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0036624927193216,1,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,4.955488885140032e-05,2,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.088922989403079,5,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0276209386416131,3,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0177927549720847,1,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0020152336834377,2,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0809925954083798,3,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.105297448756558,6,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0895665765444005,5,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.00013183533512,1,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0078510259288274,6,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.1412815247819905,4,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.1072256520129862,4,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0608651508442939,6,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.02002988319718,3,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0121066005023435,3,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0034243141105451,1,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0524668210062815,3,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.0601615322267313,6,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,independent,1.0,0.0,0.024962190499478,6,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,spatial_cluster,1.0,0.0,0.0012266228298782,3,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,spatial_cluster,1.0,0.0,3.102923994039675e-07,1,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,spatial_cluster,1.0,0.0,0.0251508936592967,3,False,False,0.0487588652482269,23.5147315999493,1.0
33,dalat,hcmus,residual_full,spatial_cluster,1.0,0.0,0.0001722052156704,2,False,False,0.0487588652482269,23.5147315999493,1.0
