seed,failure_mode,direct_full,residual_full,delta_residual_minus_direct
11,independent,0.14540578492453238,0.15965919751124713,0.014253412586714753
11,spatial_cluster,0.11438008180687298,0.10833322028891526,-0.006046861517957719
22,independent,0.14597538206648486,0.13543815600638653,-0.010537226060098326
22,spatial_cluster,0.10975654114116906,0.09455692511045732,-0.015199616030711738
33,independent,0.12873201644773397,0.2648213416808725,0.13608932523313855
33,spatial_cluster,0.10410293970894767,0.23652148860406064,0.13241854889511295
44,independent,0.1403840755240255,0.15239381140879332,0.012009735884767836
44,spatial_cluster,0.10760588814608436,0.17550707372475935,0.06790118557867499
55,independent,0.11370816386361582,0.09218380185650271,-0.021524362007113107
55,spatial_cluster,0.10902936753341433,0.1050349119575077,-0.003994455575906622
