domain,failure_mode,mean_delta_aware_minus_full,ci_low,ci_high
osm,independent,0.04515410882270004,-0.0028928114031053637,0.10193548774518128
osm,spatial_cluster,0.03041724746446185,0.006686258551473476,0.057915218616680496
synthetic,independent,-0.0033610276351681415,-0.015916065060036226,0.011134317751640907
synthetic,spatial_cluster,-0.01926466257498418,-0.026556238296012696,-0.011973086853955664
