seed,model,failure_mode,calibration_intercept,calibration_slope,mean_error
11,direct_full,independent,0.08140747803276122,0.9253939562331168,-0.047149818454627554
11,direct_full,spatial_cluster,0.05405824250224012,0.9379822001262511,-0.015377652904195434
11,residual_full,independent,0.06713561556233172,0.9017848347012218,-0.019302026190553483
11,residual_full,spatial_cluster,0.02562282011731587,0.9621909995969332,-0.0015172448551186392
22,direct_full,independent,-0.07772204734467847,1.0570677621218039,0.043478676658088106
22,direct_full,spatial_cluster,-0.08245844015944448,1.0565128949355906,0.040991979693772426
22,residual_full,independent,-0.015683297061796497,1.0037093269070994,0.01356847127895966
22,residual_full,spatial_cluster,0.017214232305044597,0.971404734553988,0.002671831553580397
33,direct_full,independent,0.06110571110614471,0.9216593238185773,-0.01985775922638078
33,direct_full,spatial_cluster,0.058147479289814896,0.9070168534592744,0.004063692116976239
33,residual_full,independent,0.31252754504448854,0.5840930150305185,-0.14601290408269219
33,residual_full,spatial_cluster,0.37440992192316985,0.5739952581569402,-0.15874512507500455
44,direct_full,independent,0.002112884559492767,0.9806122010935878,0.008572112516040054
44,direct_full,spatial_cluster,-0.043132465364419725,1.0301260428936,0.022495034547931007
44,residual_full,independent,0.17838122055133654,0.8165877906218397,-0.0965865246872361
44,residual_full,spatial_cluster,0.2955758958692402,0.6860650849061721,-0.12765710453834528
55,direct_full,independent,-0.04421907965076288,1.0173825739888696,0.03472996590092613
55,direct_full,spatial_cluster,-0.0021593496973458803,0.9872553528190029,0.010070396278300737
55,residual_full,independent,-0.04362280746454206,1.0279974238896932,0.028513123126624355
55,residual_full,spatial_cluster,-0.005045421675398121,0.9825122967023324,0.0160044209177284
