test_country,seed,failure_mode,model,mae,areas,n
Taiwan,11,spatial_cluster,direct_full,0.14067206519660888,1,8
Taiwan,11,spatial_cluster,residual_full,0.09129953721575317,1,8
Taiwan,11,targeted,direct_full,0.10701922755183331,1,8
Taiwan,11,targeted,residual_full,0.011546429566036367,1,8
Taiwan,22,independent,direct_full,0.07307959569419685,1,8
Taiwan,22,independent,residual_full,0.059644244963181645,1,8
Taiwan,22,spatial_cluster,direct_full,0.0675038130461382,1,8
Taiwan,22,spatial_cluster,residual_full,0.06851203399441712,1,8
Taiwan,22,targeted,direct_full,0.06375087974428977,1,8
Taiwan,22,targeted,residual_full,0.06448181522846068,1,8
Taiwan,33,independent,direct_full,0.14686521422012955,1,8
Taiwan,33,independent,residual_full,0.053820967207544125,1,8
Taiwan,33,spatial_cluster,direct_full,0.05548426818347201,1,8
Taiwan,33,spatial_cluster,residual_full,0.02963397355994804,1,8
Taiwan,33,targeted,direct_full,0.11325335846663594,1,8
Taiwan,33,targeted,residual_full,0.057442622440021004,1,8
Taiwan,44,independent,direct_full,0.08806678949185139,1,8
Taiwan,44,independent,residual_full,0.011629482444557778,1,8
Taiwan,44,spatial_cluster,direct_full,0.1167237450038368,1,8
Taiwan,44,spatial_cluster,residual_full,0.06638723714763795,1,8
Taiwan,44,targeted,direct_full,0.10331283142290926,1,8
Taiwan,44,targeted,residual_full,0.011655391915044238,1,8
Taiwan,55,independent,direct_full,0.018822916194401386,1,8
Taiwan,55,independent,residual_full,0.017139501047856824,1,8
Taiwan,55,spatial_cluster,direct_full,0.03438817985574577,1,8
Taiwan,55,spatial_cluster,residual_full,0.009260272455726304,1,8
Taiwan,55,targeted,direct_full,0.013700070407540826,1,8
Taiwan,55,targeted,residual_full,0.009009094409012514,1,8
Thailand,11,independent,direct_full,0.07639009774780017,2,16
Thailand,11,independent,residual_full,0.07892604627763967,2,16
Thailand,11,spatial_cluster,direct_full,0.0952344862809547,2,16
Thailand,11,spatial_cluster,residual_full,0.10863138875646075,2,16
Thailand,11,targeted,direct_full,0.3528210942753452,2,16
Thailand,11,targeted,residual_full,0.32296864531271635,2,16
Thailand,22,independent,direct_full,0.15445544650109497,2,16
Thailand,22,independent,residual_full,0.14378080060968185,2,16
Thailand,22,spatial_cluster,direct_full,0.03296757883145861,2,16
Thailand,22,spatial_cluster,residual_full,0.02408002407974948,2,16
Thailand,22,targeted,direct_full,0.1521896081600252,2,16
Thailand,22,targeted,residual_full,0.13122712071946893,2,16
Thailand,33,independent,direct_full,0.20126467475660678,2,16
Thailand,33,independent,residual_full,0.21327464117661654,2,16
Thailand,33,spatial_cluster,direct_full,0.02365260684988912,2,16
Thailand,33,spatial_cluster,residual_full,0.03824834033973036,2,16
Thailand,33,targeted,direct_full,0.11015865540164443,2,16
Thailand,33,targeted,residual_full,0.1004853621873531,2,16
Thailand,44,independent,direct_full,0.046460127374442696,2,16
