failure_mode,direct_mae,residual_mae,direct_minus_residual,ci_low,ci_high,countries,seeds
independent,0.13944434790224547,0.1270737439806005,0.012370603921644952,-0.08394030844437271,0.09802437299051844,6,5
spatial_cluster,0.09215568156568796,0.1256267757107086,-0.03347109414502062,-0.22032695943526062,0.10652218745560911,6,5
targeted,0.17239857965689928,0.14524966896560607,0.027148910691293257,-0.031327299549525525,0.06807301121457503,6,5
